FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36043,Herkimer,NY,4,  Government and government enterprises,290412,316664,329331,319679
36045,Jefferson,NY,1,All Industries,6327637,6401660,6420458,6250685
36045,Jefferson,NY,2,  Private goods-producing industries,,499653,521776,523260
36045,Jefferson,NY,3,  Private services-providing industries,,2144416,2190471,2163996
36045,Jefferson,NY,4,  Government and government enterprises,3820827,3757591,3708212,3563430
36047,Kings,NY,1,All Industries,59716251,61603353,65748703,68430708
36047,Kings,NY,2,  Private goods-producing industries,3689945,3917652,4180532,4723087
36047,Kings,NY,3,  Private services-providing industries,46284496,47283475,50803284,52761087
36047,Kings,NY,4,  Government and government enterprises,9741810,10402226,10764887,10946534
36049,Lewis,NY,1,All Industries,712340,769803,815929,796804
36049,Lewis,NY,2,  Private goods-producing industries,218269,240813,241663,239498
36049,Lewis,NY,3,  Private services-providing industries,319427,351256,386562,370129
36049,Lewis,NY,4,  Government and government enterprises,174644,177734,187704,187178
36051,Livingston,NY,1,All Industries,1687301,1802048,1817320,1894258
36051,Livingston,NY,2,  Private goods-producing industries,385100,433875,494779,563612
36051,Livingston,NY,3,  Private services-providing industries,771274,811076,836438,850822
36051,Livingston,NY,4,  Government and government enterprises,530927,557097,486104,479824
36053,Madison,NY,1,All Industries,1740873,1853180,1922283,1928689
36053,Madison,NY,2,  Private goods-producing industries,407729,442581,439070,433034
36053,Madison,NY,3,  Private services-providing industries,1027243,1076752,1139818,1165652
36053,Madison,NY,4,  Government and government enterprises,305901,333847,343394,330003
36055,Monroe,NY,1,All Industries,39926339,40567241,42200154,44497871
36055,Monroe,NY,2,  Private goods-producing industries,7375845,7693221,7427534,7899704
36055,Monroe,NY,3,  Private services-providing industries,28462691,28480257,30385419,32186589
36055,Monroe,NY,4,  Government and government enterprises,4087803,4393763,4387201,4411578
36057,Montgomery,NY,1,All Industries,1415887,1497636,1548789,1591056
36057,Montgomery,NY,2,  Private goods-producing industries,337753,363978,374773,393859
36057,Montgomery,NY,3,  Private services-providing industries,875310,908352,926461,962921
