FIPS,State,County,PopChangeRate1718,PopChangeRate1018,TotalPopEst2018,NetMigrationRate1018,NaturalChangeRate1018,Net_International_Migration_Rate_2010_2018,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed5CollegePlusNum,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,ForeignBornAfricaPct,TotalPopACS,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,NonEnglishHHNum,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,ForeignBornEuropeNum,Age65AndOlderNum2010,TotalPop2010,LandAreaSQMiles2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2018,NaturalChange1018,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1018,TotalPopEstBase2010
36019,NY,Clinton,0.16,-1.71,80695.0,-2.33,0.62,0.93,2.8,0.79,1.76,0.666533151,79.13,19.35,13.34,91.12,3.6,1.08,0.32,2.5,1.44,1.5,9.61,68.88,3.91,4.58,58.04,74832,2953,890,266,2054,1179,4.380478676,1.00339801,0.115729341,0.568181818,13.224489800000002,37.1047619,17.86122449,9.942857143,21.86666667,2.32,11.12373737,11.59090909,67.99873737,12054,9846,20454,7290,55125,0.142814932,81224,31680,1.169605043,5481,3558.0,3672,21542,3524,31680,180,0.405052694,329.0,0.418595489,340.0,116.0,950.0,94.0,815.0,10952,82128,1037.85,15890,532.5,1408.5,633.5,81708,81516,82095,81460,81716,761.0,512.0,80723,80524,80567,-1912.0,82131
36021,NY,Columbia,-0.81,-4.93,59916.0,-3.09,-1.85,0.82,0.0,-1.05,-1.13,0.83193224,99.41,20.3,18.17,88.23,4.26,1.58,0.13,3.89,2.03,-2.91,-1.72,102.43,-22.73,53.57,40.24,55672,2691,998,85,2454,1279,6.806981019,2.400741693,0.478196516,1.448763251,10.55452259,30.86295527,17.38816581,11.06201466,30.13234168,2.32,11.57440126,13.83588536,72.35571259999999,13775,7949,14109,4825,45715,0.12686846300000001,61481,25470,1.3695287980000002,5057,4185.0,3524,18429,2948,25470,369,1.229648184,756.0,1.244286853,765.0,78.0,842.0,294.0,1476.0,11463,63096,634.71,12807,524.5,-709.5,-661.5,62435,62160,63026,61938,62512,517.0,-1164.0,61453,60882,60408,-1946.0,63057
36023,NY,Cortland,-0.03,-2.96,47823.0,-3.6,0.64,0.35,1.52,-2.78,2.24,0.479535046,98.92,21.1,13.09,93.75,1.43,0.84,0.26,2.22,1.71,-1.06,76.69,108.08,-3.82,93.63,47.13,46252,705,412,126,1094,846,1.988248438,0.8648156579999999,0.0,0.507670851,9.444021325,34.13358058,17.00056293,13.40441736,26.0174178,2.5,9.562064156,12.29009763,64.70292887,7857,5134,10308,2852,30199,0.11172259699999999,48334,17925,0.796540737,4048,961.0,2203,11598,1714,17925,91,0.064137046,31.0,0.070343857,34.0,54.0,385.0,0.0,418.0,6458,49336,498.76,10411,233.5,1092.5,-1351.5,49027,48907,49283,48743,49378,171.0,316.0,48296,47919,47836,-1776.0,49294
36025,NY,Delaware,-1.1,-7.02,44527.0,-4.28,-2.74,0.46,-0.16,-3.19,-2.02,0.22981781699999998,33.26,19.6,19.43,93.18,1.44,0.76,0.21,3.25,1.3,-2.16,30.62,43.48,-23.88,58.7,30.95,44706,691,363,102,1560,622,4.596300326000001,2.30250272,0.42655059799999995,0.890145565,12.28618222,37.61676574,16.13490234,12.33167536,21.63047434,2.28,9.980102629,16.00167557,73.34799455,7132,5320,12403,4051,32972,0.089227421,45950,19098,0.66594124,4066,2112.0,3056,14008,1906,19098,170,0.8618063109999999,396.0,0.37867247,174.0,41.0,306.0,196.0,1058.0,9321,47980,1442.44,9405,110.0,-965.0,-1525.0,47212,46801,47889,46561,47578,220.0,-1311.0,45954,45446,45020,-2051.0,47963
36027,NY,Dutchess,0.09,-1.35,293718.0,-1.87,0.53,1.29,6.19,2.14,3.28,2.004172095,373.9,22.18,13.55,74.56,9.21,3.47,0.16,10.51,2.62,-1.38,9.32,47.78,0.0,73.13,47.25,221812,27395,10330,465,31267,7800,11.32658065,2.350136125,1.178619139,2.7620502119999997,9.548509071,26.18676776,19.21750715,10.44727871,34.59993731,2.58,10.82749758,11.01840125,69.15741637,70642,39236,53465,19495,204168,0.534352436,295685,107384,3.090112789,21330,33491.0,11832,74264,11627,107384,2966,3.090112789,9137.0,2.04947833,6060.0,1580.0,9137.0,3485.0,6949.0,40304,297488,795.63,65969,5630.0,9209.5,6015.0,297048,296272,297731,295146,298118,3839.0,1567.0,294108,293049,293450,-5580.0,297462
36029,NY,Erie,0.1,0.06,919719.0,-0.11,0.18,2.3,-3.29,-4.13,0.56,1.071105072,881.41,21.65,15.71,77.71,13.05,2.57,0.57,4.54,1.8,-6.95,-1.13,71.68,-2.9,34.38,32.37,714156,119916,23621,5199,41731,16522,6.83564305,1.59719479,0.09556328800000001,2.1885700530000003,8.863053396,27.9917744,18.38207043,11.88621045,32.87689132,2.32,13.33536937,13.57607067,65.0183373,211356,118173,179951,56978,642871,0.6204579029999999,923995,386371,3.262571767,76413,63161.0,52454,251212,51524,386371,8456,0.493076261,4556.0,0.38236137600000003,3533.0,5733.0,30146.0,883.0,14758.0,144364,919040,1042.69,198944,10169.5,5290.5,-39223.0,919877,920883,919143,921794,919747,21099.0,1610.0,920543,918479,918794,-1034.0,919129
36031,NY,Essex,-0.56,-5.21,37300.0,-3.2,-2.01,0.7,1.34,-1.28,-0.98,0.308396083,21.94,19.27,18.14,92.93,2.49,0.66,0.25,2.52,1.22,0.67,-4.2,63.52,-17.5,16.69,42.56,36588,982,260,99,993,479,2.981717365,0.9494415820000001,0.269400779,0.42603395200000005,9.138779187,33.30908335,20.18637844,10.67692095,26.68883808,2.32,10.34279347,15.14714557,76.03067444,7704,5827,9615,2638,28866,0.060157456,38233,15257,0.47602856200000004,3082,1140.0,2311,11600,1578,15257,65,0.7846624640000001,300.0,0.269400779,103.0,23.0,182.0,103.0,363.0,7143,39370,1794.23,7586,120.0,-382.5,-497.5,38863,38587,39350,38311,39256,275.0,-791.0,37958,37675,37511,-1259.0,39363
36033,NY,Franklin,-0.3,-2.63,50293.0,-3.16,0.52,0.36,0.91,-2.39,1.32,0.202766241,31.67,20.78,13.33,82.64,5.49,0.42,7.27,2.92,1.21,0.96,-10.88,13.16,19.83,-26.64,76.27,42640,2834,215,3753,1506,624,4.497199043999999,0.49751243799999995,0.30360011,0.596117324,13.78618036,37.16468686,18.58792036,11.80358039,18.65763203,2.38,11.44756278,11.10466343,72.9056763,6691,6666,13328,4944,35862,0.031339366,51054,18956,0.573902143,4233,2296.0,2105,13820,2170,18956,113,0.8755435420000001,447.0,0.55823246,285.0,16.0,293.0,155.0,254.0,6880,51599,1629.12,10720,103.5,675.0,-1220.5,51789,51213,51652,51102,51541,185.0,271.0,50542,51077,50444,-1630.0,51607
36035,NY,Fulton,-0.35,-3.37,53591.0,-2.32,-1.05,0.18,0.83,0.41,0.02,0.5838911529999999,112.08,22.2,16.03,93.84,1.77,0.58,0.19,2.27,1.4,-0.5,4.7,9.97,11.83,42.87,54.47,52110,981,320,104,1263,777,2.048002965,0.83773515,0.018533963,0.501442201,13.04494062,35.68859797,19.99689529,13.59861323,17.67095289,2.34,11.519858000000001,13.40581318,71.37785667,6830,7729,13794,5042,38651,0.027800945,53955,22535,0.594940228,5256,1105.0,3021,16085,2596,22535,113,0.035214531,19.0,0.326197757,176.0,15.0,321.0,10.0,452.0,8901,55531,495.47,12326,321.0,13.5,225.5,54853,54359,55462,53945,55115,99.0,-584.0,53800,53604,53777,-1287.0,55520
36037,NY,Genesee,-0.53,-4.05,57511.0,-3.73,-0.32,0.36,-0.48,-5.01,1.43,0.40387188399999996,121.88,22.07,15.63,91.53,2.48,0.59,1.1,2.69,1.77,-3.18,22.51,22.41,47.22,78.76,49.37,54990,1491,355,661,1616,1065,1.867195107,0.601329074,0.32287271300000003,0.634629034,8.860329777,35.86323957,19.43258972,14.40349176,21.44034918,2.41,9.147843514,12.09135318,72.51889274,8842,8014,14790,3654,41240,0.020499855,58537,23951,0.5244546179999999,5940,1093.0,2896,17369,2191,23951,152,0.473204981,277.0,0.070041171,41.0,12.0,307.0,189.0,352.0,9390,60079,492.94,13259,244.5,865.5,-3030.0,59682,59124,59940,58740,59886,213.0,-192.0,58470,58022,57816,-2237.0,59943
