Week,flu,metro,Week Ending Date,fluSymptoms,fever,cough,soreThroat,year,County
2015-02-08,0.016169113355780026,Binghamton,02/14/2015,0.036647619047619054,0.2858336012324099,0.15012122635025335,0.24278091615672065,2015,BROOME
2015-02-08,0.016169113355780026,Binghamton,02/14/2015,0.036647619047619054,0.2858336012324099,0.15012122635025335,0.24278091615672065,2015,CHENANGO
2015-02-08,0.016169113355780026,Binghamton,02/14/2015,0.036647619047619054,0.2858336012324099,0.15012122635025335,0.24278091615672065,2015,DELAWARE
2015-02-15,0.009383860429693764,Binghamton,02/21/2015,0.023820952380952384,0.2104449889073618,0.4198305482676576,0.4022853675242005,2015,TIOGA
2015-02-15,0.009383860429693764,Binghamton,02/21/2015,0.023820952380952384,0.2104449889073618,0.4198305482676576,0.4022853675242005,2015,BROOME
2015-02-15,0.009383860429693764,Binghamton,02/21/2015,0.023820952380952384,0.2104449889073618,0.4198305482676576,0.4022853675242005,2015,CHENANGO
2015-02-15,0.009383860429693764,Binghamton,02/21/2015,0.023820952380952384,0.2104449889073618,0.4198305482676576,0.4022853675242005,2015,DELAWARE
2015-02-22,0.005197215007215007,Binghamton,02/28/2015,0.0155752380952381,0.259393993118412,0.3388106179002149,0.2349492737000522,2015,TIOGA
2015-02-22,0.005197215007215007,Binghamton,02/28/2015,0.0155752380952381,0.259393993118412,0.3388106179002149,0.2349492737000522,2015,BROOME
2015-02-22,0.005197215007215007,Binghamton,02/28/2015,0.0155752380952381,0.259393993118412,0.3388106179002149,0.2349492737000522,2015,CHENANGO
2015-02-22,0.005197215007215007,Binghamton,02/28/2015,0.0155752380952381,0.259393993118412,0.3388106179002149,0.2349492737000522,2015,DELAWARE
2015-03-01,0.004764113756613757,Binghamton,03/07/2015,0.026358095238095243,0.5129522168783289,0.113293985274143,0.0,2015,TIOGA
2015-03-01,0.004764113756613757,Binghamton,03/07/2015,0.026358095238095243,0.5129522168783289,0.113293985274143,0.0,2015,BROOME
2015-03-01,0.004764113756613757,Binghamton,03/07/2015,0.026358095238095243,0.5129522168783289,0.113293985274143,0.0,2015,CHENANGO
2015-03-01,0.004764113756613757,Binghamton,03/07/2015,0.026358095238095243,0.5129522168783289,0.113293985274143,0.0,2015,DELAWARE
2015-03-08,0.0028873416706750045,Binghamton,03/14/2015,0.011980952380952384,0.3239447480633979,0.2427919566217745,0.3759188379200835,2015,TIOGA
2015-03-08,0.0028873416706750045,Binghamton,03/14/2015,0.011980952380952384,0.3239447480633979,0.2427919566217745,0.3759188379200835,2015,BROOME
2015-03-08,0.0028873416706750045,Binghamton,03/14/2015,0.011980952380952384,0.3239447480633979,0.2427919566217745,0.3759188379200835,2015,CHENANGO
2015-03-08,0.0028873416706750045,Binghamton,03/14/2015,0.011980952380952384,0.3239447480633979,0.2427919566217745,0.3759188379200835,2015,DELAWARE
2015-03-15,0.006496518759018759,Binghamton,03/21/2015,0.011980952380952384,0.5266484102707153,0.3688080797222103,0.4158602144490924,2015,TIOGA
2015-03-15,0.006496518759018759,Binghamton,03/21/2015,0.011980952380952384,0.5266484102707153,0.3688080797222103,0.4158602144490924,2015,BROOME
2015-03-15,0.006496518759018759,Binghamton,03/21/2015,0.011980952380952384,0.5266484102707153,0.3688080797222103,0.4158602144490924,2015,CHENANGO
2015-03-15,0.006496518759018759,Binghamton,03/21/2015,0.011980952380952384,0.5266484102707153,0.3688080797222103,0.4158602144490924,2015,DELAWARE
2015-03-22,0.01104408189033189,Binghamton,03/28/2015,0.019662857142857145,0.4282740125132275,0.1365955850823001,0.25844420107005744,2015,TIOGA
2015-03-22,0.01104408189033189,Binghamton,03/28/2015,0.019662857142857145,0.4282740125132275,0.1365955850823001,0.25844420107005744,2015,BROOME
2015-03-22,0.01104408189033189,Binghamton,03/28/2015,0.019662857142857145,0.4282740125132275,0.1365955850823001,0.25844420107005744,2015,CHENANGO
2015-03-22,0.01104408189033189,Binghamton,03/28/2015,0.019662857142857145,0.4282740125132275,0.1365955850823001,0.25844420107005744,2015,DELAWARE
2015-03-29,0.0030317087542087546,Binghamton,04/04/2015,0.008879999999999999,0.39230661769148256,0.2678344805535296,0.2541367977188898,2015,TIOGA
2015-03-29,0.0030317087542087546,Binghamton,04/04/2015,0.008879999999999999,0.39230661769148256,0.2678344805535296,0.2541367977188898,2015,BROOME
2015-03-29,0.0030317087542087546,Binghamton,04/04/2015,0.008879999999999999,0.39230661769148256,0.2678344805535296,0.2541367977188898,2015,CHENANGO
2015-03-29,0.0030317087542087546,Binghamton,04/04/2015,0.008879999999999999,0.39230661769148256,0.2678344805535296,0.2541367977188898,2015,DELAWARE
2015-04-05,0.004042278338945007,Binghamton,04/11/2015,0.011276190476190478,0.2620141344630424,0.14436278501835245,0.2678421720180595,2015,TIOGA
2015-04-05,0.004042278338945007,Binghamton,04/11/2015,0.011276190476190478,0.2620141344630424,0.14436278501835245,0.2678421720180595,2015,BROOME
2015-04-05,0.004042278338945007,Binghamton,04/11/2015,0.011276190476190478,0.2620141344630424,0.14436278501835245,0.2678421720180595,2015,CHENANGO
2015-04-05,0.004042278338945007,Binghamton,04/11/2015,0.011276190476190478,0.2620141344630424,0.14436278501835245,0.2678421720180595,2015,DELAWARE
