FIPS,Countyname,Postal,LineCode,IndustryName,2013,2014,2015
36045,Jefferson,NY,3,  Private services-providing industries,,-0.1,-3.4
36045,Jefferson,NY,4,  Government and government enterprises,-3.1,-3.7,-6.1
36047,Kings,NY,1,All Industries,0.6,4.1,1.3
36047,Kings,NY,2,  Private goods-producing industries,3.1,1.3,7.8
36047,Kings,NY,3,  Private services-providing industries,-0.1,5.1,1.3
36047,Kings,NY,4,  Government and government enterprises,2.8,0.4,-1.5
36049,Lewis,NY,1,All Industries,4.5,2.8,-3.5
36049,Lewis,NY,2,  Private goods-producing industries,6.8,0.7,0.6
36049,Lewis,NY,3,  Private services-providing industries,6.7,4.5,-6.0
36049,Lewis,NY,4,  Government and government enterprises,-2.3,2.4,-3.5
36051,Livingston,NY,1,All Industries,4.0,-1.1,2.3
36051,Livingston,NY,2,  Private goods-producing industries,10.7,13.6,14.1
36051,Livingston,NY,3,  Private services-providing industries,2.8,1.0,-0.7
36051,Livingston,NY,4,  Government and government enterprises,0.7,-15.4,-4.5
36053,Madison,NY,1,All Industries,4.0,1.4,-1.7
36053,Madison,NY,2,  Private goods-producing industries,7.7,-2.2,-1.2
36053,Madison,NY,3,  Private services-providing industries,2.3,3.4,-0.2
36053,Madison,NY,4,  Government and government enterprises,4.9,-0.3,-7.0
36055,Monroe,NY,1,All Industries,-0.6,2.0,2.7
36055,Monroe,NY,2,  Private goods-producing industries,1.9,-5.8,2.0
36055,Monroe,NY,3,  Private services-providing industries,-1.8,4.9,3.7
36055,Monroe,NY,4,  Government and government enterprises,3.4,-3.2,-2.6
36057,Montgomery,NY,1,All Industries,3.9,1.5,0.7
36057,Montgomery,NY,2,  Private goods-producing industries,6.8,0.9,4.7
36057,Montgomery,NY,3,  Private services-providing industries,2.1,0.4,1.6
36057,Montgomery,NY,4,  Government and government enterprises,6.8,6.5,-8.4
36059,Nassau,NY,1,All Industries,0.6,2.4,-0.2
36059,Nassau,NY,2,  Private goods-producing industries,4.2,-2.6,0.4
36059,Nassau,NY,3,  Private services-providing industries,0.4,3.3,0.1
36059,Nassau,NY,4,  Government and government enterprises,-0.1,-0.7,-2.8
36061,New York,NY,1,All Industries,-1.5,2.3,2.4
36061,New York,NY,2,  Private goods-producing industries,1.7,4.6,7.7
36061,New York,NY,3,  Private services-providing industries,-1.7,2.3,2.6
36061,New York,NY,4,  Government and government enterprises,2.1,0.9,-2.0
36063,Niagara,NY,1,All Industries,2.8,2.3,-0.4
36063,Niagara,NY,2,  Private goods-producing industries,-3.6,3.6,-3.0
36063,Niagara,NY,3,  Private services-providing industries,5.2,3.0,0.9
36063,Niagara,NY,4,  Government and government enterprises,-0.2,-2.2,-3.8
36065,Oneida,NY,1,All Industries,-2.8,1.1,-1.6
36065,Oneida,NY,2,  Private goods-producing industries,-0.5,1.7,-5.8
36065,Oneida,NY,3,  Private services-providing industries,-4.8,4.6,0.4
36065,Oneida,NY,4,  Government and government enterprises,0.9,-7.3,-4.2
36067,Onondaga,NY,1,All Industries,0.1,3.8,2.8
36067,Onondaga,NY,2,  Private goods-producing industries,3.1,-2.9,0.6
36067,Onondaga,NY,3,  Private services-providing industries,-1.2,7.1,4.2
36067,Onondaga,NY,4,  Government and government enterprises,2.9,-4.5,-1.7
36069,Ontario,NY,1,All Industries,7.6,2.5,8.5
36069,Ontario,NY,2,  Private goods-producing industries,3.3,1.5,-1.9
36069,Ontario,NY,3,  Private services-providing industries,10.4,2.7,15.5
36069,Ontario,NY,4,  Government and government enterprises,3.6,3.1,-3.2
36071,Orange,NY,1,All Industries,0.9,1.5,1.8
36071,Orange,NY,2,  Private goods-producing industries,2.4,3.8,1.8
36071,Orange,NY,3,  Private services-providing industries,2.0,1.2,3.4
36071,Orange,NY,4,  Government and government enterprises,-2.3,1.3,-1.8
36073,Orleans,NY,1,All Industries,0.6,3.5,-3.0
36073,Orleans,NY,2,  Private goods-producing industries,10.2,4.4,-2.7
36073,Orleans,NY,3,  Private services-providing industries,-7.5,8.4,1.2
36073,Orleans,NY,4,  Government and government enterprises,-0.7,-2.1,-7.6
36075,Oswego,NY,1,All Industries,10.1,-2.5,1.8
36075,Oswego,NY,2,  Private goods-producing industries,4.0,0.0,-4.4
36075,Oswego,NY,3,  Private services-providing industries,11.5,-3.3,3.4
36075,Oswego,NY,4,  Government and government enterprises,5.1,1.2,-5.5
36077,Otsego,NY,1,All Industries,-1.3,-0.1,1.3
36077,Otsego,NY,2,  Private goods-producing industries,1.8,-6.7,-1.9
36077,Otsego,NY,3,  Private services-providing industries,-3.1,1.8,4.0
36077,Otsego,NY,4,  Government and government enterprises,3.0,-2.6,-6.6
36079,Putnam,NY,1,All Industries,1.4,1.4,1.0
36079,Putnam,NY,2,  Private goods-producing industries,,,
36079,Putnam,NY,3,  Private services-providing industries,,,
36079,Putnam,NY,4,  Government and government enterprises,2.3,0.2,-4.0
36081,Queens,NY,1,All Industries,0.8,3.3,1.3
36081,Queens,NY,2,  Private goods-producing industries,2.9,1.6,4.8
36081,Queens,NY,3,  Private services-providing industries,0.2,4.1,1.3
36081,Queens,NY,4,  Government and government enterprises,2.4,0.4,-1.4
36083,Rensselaer,NY,1,All Industries,-0.6,3.6,2.7
36083,Rensselaer,NY,2,  Private goods-producing industries,3.9,-0.2,7.2
36083,Rensselaer,NY,3,  Private services-providing industries,-2.3,2.7,3.7
36083,Rensselaer,NY,4,  Government and government enterprises,2.4,9.6,-4.0
36085,Richmond,NY,1,All Industries,5.5,5.4,-5.3
36085,Richmond,NY,2,  Private goods-producing industries,18.0,-0.2,9.5
36085,Richmond,NY,3,  Private services-providing industries,5.2,7.7,-7.5
36085,Richmond,NY,4,  Government and government enterprises,2.1,-2.2,-2.6
36087,Rockland,NY,1,All Industries,-4.6,4.7,5.9
36087,Rockland,NY,2,  Private goods-producing industries,-21.3,18.8,15.4
36087,Rockland,NY,3,  Private services-providing industries,3.4,1.5,2.7
36087,Rockland,NY,4,  Government and government enterprises,6.1,-10.5,-4.3
36089,St. Lawrence,NY,1,All Industries,1.9,0.0,-1.1
36089,St. Lawrence,NY,2,  Private goods-producing industries,6.2,-1.7,-11.0
36089,St. Lawrence,NY,3,  Private services-providing industries,0.4,0.2,2.6
36089,St. Lawrence,NY,4,  Government and government enterprises,2.1,0.7,-1.5
36091,Saratoga,NY,1,All Industries,3.5,2.0,2.1
36091,Saratoga,NY,2,  Private goods-producing industries,9.0,0.4,10.0
36091,Saratoga,NY,3,  Private services-providing industries,2.5,3.2,1.4
36091,Saratoga,NY,4,  Government and government enterprises,1.9,-1.9,-4.1
36093,Schenectady,NY,1,All Industries,0.4,1.0,2.0
36093,Schenectady,NY,2,  Private goods-producing industries,-5.9,-3.7,0.8
36093,Schenectady,NY,3,  Private services-providing industries,1.7,5.4,3.2
36093,Schenectady,NY,4,  Government and government enterprises,5.0,-11.7,-2.6
36095,Schoharie,NY,1,All Industries,0.0,-0.4,-2.6
36095,Schoharie,NY,2,  Private goods-producing industries,2.4,,
36095,Schoharie,NY,3,  Private services-providing industries,-1.4,,
36095,Schoharie,NY,4,  Government and government enterprises,2.0,0.8,-2.5
36097,Schuyler,NY,1,All Industries,-0.4,-2.5,-4.7
36097,Schuyler,NY,2,  Private goods-producing industries,-1.7,-0.8,-3.9
36097,Schuyler,NY,3,  Private services-providing industries,1.1,-2.1,-3.5
36097,Schuyler,NY,4,  Government and government enterprises,-1.3,-6.1,-8.7
36099,Seneca,NY,1,All Industries,0.5,1.0,-3.1
36099,Seneca,NY,2,  Private goods-producing industries,,,-4.8
36099,Seneca,NY,3,  Private services-providing industries,,,-1.4
36099,Seneca,NY,4,  Government and government enterprises,-7.5,1.9,-3.6
36101,Steuben,NY,1,All Industries,12.6,8.6,1.4
36101,Steuben,NY,2,  Private goods-producing industries,63.3,30.5,5.1
36101,Steuben,NY,3,  Private services-providing industries,2.5,1.7,1.1
36101,Steuben,NY,4,  Government and government enterprises,0.7,-0.6,-4.9
36103,Suffolk,NY,1,All Industries,1.0,0.8,0.3
36103,Suffolk,NY,2,  Private goods-producing industries,-1.5,0.1,2.4
36103,Suffolk,NY,3,  Private services-providing industries,1.5,1.7,0.3
36103,Suffolk,NY,4,  Government and government enterprises,1.4,-2.7,-2.0
36105,Sullivan,NY,1,All Industries,5.3,-1.2,-4.3
36105,Sullivan,NY,2,  Private goods-producing industries,-1.7,-1.7,5.4
36105,Sullivan,NY,3,  Private services-providing industries,8.2,-1.1,-5.8
36105,Sullivan,NY,4,  Government and government enterprises,1.1,-1.5,-4.2
36107,Tioga,NY,1,All Industries,8.1,1.9,10.8
36107,Tioga,NY,2,  Private goods-producing industries,13.8,1.3,15.8
36107,Tioga,NY,3,  Private services-providing industries,3.3,3.8,10.5
36107,Tioga,NY,4,  Government and government enterprises,2.6,-0.7,-4.0
36109,Tompkins,NY,1,All Industries,1.8,1.4,1.1
36109,Tompkins,NY,2,  Private goods-producing industries,1.5,-7.1,-2.1
36109,Tompkins,NY,3,  Private services-providing industries,1.7,3.2,2.2
36109,Tompkins,NY,4,  Government and government enterprises,2.9,-4.2,-5.2
36111,Ulster,NY,1,All Industries,9.3,0.6,-9.8
36111,Ulster,NY,2,  Private goods-producing industries,0.6,-1.8,-0.2
36111,Ulster,NY,3,  Private services-providing industries,13.7,2.3,-12.6
36111,Ulster,NY,4,  Government and government enterprises,0.1,-3.8,-4.4
36113,Warren,NY,1,All Industries,4.5,1.0,3.2
36113,Warren,NY,2,  Private goods-producing industries,-0.6,-4.8,-2.5
36113,Warren,NY,3,  Private services-providing industries,6.1,2.5,5.5
36113,Warren,NY,4,  Government and government enterprises,2.6,0.7,-3.2
36115,Washington,NY,1,All Industries,0.8,-2.4,-1.3
36115,Washington,NY,2,  Private goods-producing industries,8.9,-2.4,-4.4
36115,Washington,NY,3,  Private services-providing industries,-3.4,-2.1,4.2
36115,Washington,NY,4,  Government and government enterprises,-1.8,-2.6,-5.0
36117,Wayne,NY,1,All Industries,4.3,-5.7,-0.4
36117,Wayne,NY,2,  Private goods-producing industries,5.2,-0.4,0.0
36117,Wayne,NY,3,  Private services-providing industries,3.5,-3.5,0.5
36117,Wayne,NY,4,  Government and government enterprises,4.8,-18.5,-3.7
36119,Westchester,NY,1,All Industries,0.3,1.4,2.7
36119,Westchester,NY,2,  Private goods-producing industries,3.1,-0.5,3.4
36119,Westchester,NY,3,  Private services-providing industries,-0.2,1.8,3.6
36119,Westchester,NY,4,  Government and government enterprises,1.6,-0.4,-4.0
36121,Wyoming,NY,1,All Industries,1.9,4.0,-0.7
36121,Wyoming,NY,2,  Private goods-producing industries,5.9,2.8,-1.4
36121,Wyoming,NY,3,  Private services-providing industries,1.5,7.9,2.0
36121,Wyoming,NY,4,  Government and government enterprises,-1.4,-1.0,-5.0
36123,Yates,NY,1,All Industries,4.4,0.3,-1.2
36123,Yates,NY,2,  Private goods-producing industries,8.2,,
36123,Yates,NY,3,  Private services-providing industries,3.7,,
36123,Yates,NY,4,  Government and government enterprises,-0.5,7.1,-4.4
