Week,flu: (New York),Week Ending Date
2016-01-03,11,01/09/2016
2016-01-10,9,01/16/2016
2016-01-17,9,01/23/2016
2016-01-24,10,01/30/2016
2016-01-31,10,02/06/2016
2016-02-07,12,02/13/2016
2016-02-14,15,02/20/2016
2016-02-21,17,02/27/2016
2016-02-28,17,03/05/2016
2016-03-06,19,03/12/2016
2016-03-13,17,03/19/2016
2016-03-20,14,03/26/2016
2016-03-27,13,04/02/2016
2016-04-03,11,04/09/2016
2016-04-10,10,04/16/2016
2016-04-17,11,04/23/2016
2016-04-24,8,04/30/2016
2016-05-01,8,05/07/2016
2016-05-08,8,05/14/2016
2016-05-15,8,05/21/2016
2016-05-22,11,05/28/2016
2016-05-29,8,06/04/2016
2016-06-05,6,06/11/2016
2016-06-12,5,06/18/2016
2016-06-19,4,06/25/2016
2016-06-26,4,07/02/2016
2016-07-03,4,07/09/2016
2016-07-10,4,07/16/2016
2016-07-17,4,07/23/2016
2016-07-24,3,07/30/2016
2016-07-31,4,08/06/2016
2016-08-07,4,08/13/2016
2016-08-14,4,08/20/2016
2016-08-21,5,08/27/2016
2016-08-28,6,09/03/2016
2016-09-04,8,09/10/2016
2016-09-11,10,09/17/2016
2016-09-18,12,09/24/2016
2016-09-25,15,10/01/2016
2016-10-02,17,10/08/2016
2016-10-09,16,10/15/2016
2016-10-16,15,10/22/2016
2016-10-23,15,10/29/2016
2016-10-30,13,11/05/2016
2016-11-06,10,11/12/2016
2016-11-13,11,11/19/2016
2016-11-20,10,11/26/2016
2016-11-27,11,12/03/2016
2016-12-04,11,12/10/2016
2016-12-11,12,12/17/2016
2016-12-18,14,12/24/2016
2016-12-25,20,12/31/2016
2017-01-01,21,01/07/2017
2017-01-08,21,01/14/2017
2017-01-15,21,01/21/2017
2017-01-22,20,01/28/2017
2017-01-29,21,02/04/2017
2017-02-05,23,02/11/2017
2017-02-12,20,02/18/2017
2017-02-19,17,02/25/2017
2017-02-26,12,03/04/2017
2017-03-05,13,03/11/2017
2017-03-12,9,03/18/2017
2017-03-19,10,03/25/2017
