Week,flu: (New York),Week Ending Date
2009-10-04,63,10/10/2009
2009-10-11,66,10/17/2009
2009-10-18,90,10/24/2009
2009-10-25,100,10/31/2009
2009-11-01,85,11/07/2009
2009-11-08,71,11/14/2009
2009-11-15,54,11/21/2009
2009-11-22,31,11/28/2009
2009-11-29,24,12/05/2009
2009-12-06,21,12/12/2009
2009-12-13,18,12/19/2009
2009-12-20,13,12/26/2009
2009-12-27,11,01/02/2010
2010-01-03,13,01/09/2010
2010-01-10,12,01/16/2010
2010-01-17,8,01/23/2010
2010-01-24,8,01/30/2010
2010-01-31,8,02/06/2010
2010-02-07,7,02/13/2010
2010-02-14,6,02/20/2010
2010-02-21,6,02/27/2010
2010-02-28,4,03/06/2010
2010-03-07,4,03/13/2010
2010-03-14,4,03/20/2010
2010-03-21,3,03/27/2010
2010-03-28,3,04/03/2010
2010-04-04,4,04/10/2010
2010-04-11,3,04/17/2010
2010-04-18,3,04/24/2010
2010-04-25,4,05/01/2010
2010-05-02,2,05/08/2010
2010-05-09,3,05/15/2010
2010-05-16,3,05/22/2010
2010-05-23,2,05/29/2010
2010-05-30,2,06/05/2010
2010-06-06,2,06/12/2010
2010-06-13,2,06/19/2010
2010-06-20,2,06/26/2010
2010-06-27,2,07/03/2010
2010-07-04,2,07/10/2010
2010-07-11,2,07/17/2010
2010-07-18,2,07/24/2010
2010-07-25,2,07/31/2010
2010-08-01,3,08/07/2010
2010-08-08,3,08/14/2010
2010-08-15,3,08/21/2010
2010-08-22,3,08/28/2010
2010-08-29,3,09/04/2010
2010-09-05,5,09/11/2010
2010-09-12,8,09/18/2010
2010-09-19,10,09/25/2010
2010-09-26,10,10/02/2010
2010-10-03,12,10/09/2010
2010-10-10,12,10/16/2010
2010-10-17,12,10/23/2010
2010-10-24,12,10/30/2010
2010-10-31,10,11/06/2010
2010-11-07,8,11/13/2010
2010-11-14,9,11/20/2010
2010-11-21,5,11/27/2010
2010-11-28,7,12/04/2010
2010-12-05,7,12/11/2010
2010-12-12,8,12/18/2010
2010-12-19,8,12/25/2010
2010-12-26,10,01/01/2011
2011-01-02,11,01/08/2011
2011-01-09,9,01/15/2011
2011-01-16,9,01/22/2011
2011-01-23,9,01/29/2011
2011-01-30,9,02/05/2011
2011-02-06,9,02/12/2011
2011-02-13,9,02/19/2011
2011-02-20,9,02/26/2011
2011-02-27,8,03/05/2011
2011-03-06,6,03/12/2011
2011-03-13,5,03/19/2011
2011-03-20,5,03/26/2011
2011-03-27,5,04/02/2011
2011-04-03,4,04/09/2011
2011-04-10,5,04/16/2011
2011-04-17,3,04/23/2011
2011-04-24,3,04/30/2011
2011-05-01,2,05/07/2011
2011-05-08,3,05/14/2011
2011-05-15,3,05/21/2011
2011-05-22,3,05/28/2011
2011-05-29,2,06/04/2011
2011-06-05,3,06/11/2011
2011-06-12,2,06/18/2011
2011-06-19,2,06/25/2011
2011-06-26,2,07/02/2011
2011-07-03,2,07/09/2011
2011-07-10,2,07/16/2011
2011-07-17,2,07/23/2011
2011-07-24,2,07/30/2011
2011-07-31,2,08/06/2011
2011-08-07,2,08/13/2011
2011-08-14,2,08/20/2011
2011-08-21,3,08/27/2011
2011-08-28,4,09/03/2011
2011-09-04,4,09/10/2011
2011-09-11,6,09/17/2011
2011-09-18,8,09/24/2011
2011-09-25,8,10/01/2011
2011-10-02,11,10/08/2011
2011-10-09,10,10/15/2011
2011-10-16,10,10/22/2011
2011-10-23,10,10/29/2011
2011-10-30,9,11/05/2011
2011-11-06,8,11/12/2011
2011-11-13,8,11/19/2011
2011-11-20,6,11/26/2011
2011-11-27,8,12/03/2011
2011-12-04,5,12/10/2011
2011-12-11,6,12/17/2011
2011-12-18,6,12/24/2011
2011-12-25,7,12/31/2011
