,County,FIPS,County Centroid,year,CDC Week,Week Ending Date,Count,Disease_INFLUENZA_A,Disease_INFLUENZA_B,Disease_INFLUENZA_UNSPECIFIED,UnempRate,GDP,GDP_change,Population,flu,fluSymptoms,fever,cough,soreThroat,Target,VaxRate,PRCP,SNOW,TAVG,TMAX,TMIN,SNOWDepth
132,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,40,10/05/2013,0,0,0,0,7.5,1054031,3.7,47892,0.01012,0.00234,0.2500715,0.24381,0.247689,1.0,0.379,0.07714285714285715,0.0,60.214285714285715,74.14285714285714,46.285714285714285,0.0
133,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,41,10/12/2013,0,0,0,0,7.5,1054031,3.7,47892,0.00506,0.001248,0.14480099999999999,0.2088,0.193401,0.0,0.379,0.25285714285714284,0.0,54.142857142857146,69.71428571428571,38.57142857142857,0.0
134,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,42,10/19/2013,1,0,1,0,7.5,1054031,3.7,47892,0.009108,0.000468,0.22835999999999998,0.22059,0.161472,0.0,0.379,0.22857142857142856,0.0,50.857142857142854,58.714285714285715,43.0,0.0
135,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,43,10/26/2013,0,0,0,0,7.5,1054031,3.7,47892,0.006072,0.00234,0.19713350000000002,0.16524,0.131544,0.0,0.379,0.04142857142857143,0.0,40.5,48.285714285714285,32.714285714285715,0.0
136,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,44,11/02/2013,0,0,0,0,7.5,1054031,3.7,47892,0.007359999999999999,0.00156,0.203448,0.17496,0.158949,1.0,0.379,0.16285714285714287,0.0,44.285714285714285,55.42857142857143,33.142857142857146,0.0
137,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,45,11/09/2013,0,0,0,0,7.5,1054031,3.7,47892,0.0120864122,0.0061568000000000005,0.12018905939999999,0.12956493,0.2036771484,0.0,0.505,0.10666666666666667,0.0,36.857142857142854,45.57142857142857,28.142857142857142,0.0
138,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,46,11/16/2013,1,0,1,0,7.5,1054031,3.7,47892,0.0071721567000000005,0.0034631999999999996,0.186350275,0.37362910039999997,0.26525396079999997,0.0,0.505,0.05600000000000001,0.04,34.07142857142857,43.285714285714285,24.857142857142858,
139,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,47,11/23/2013,0,0,0,0,7.5,1054031,3.7,47892,0.006640885799999999,0.0039579429,0.16826468320000001,0.2549114669,0.1942037927,0.0,0.505,0.10285714285714286,0.0,35.357142857142854,45.42857142857143,25.285714285714285,
140,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,48,11/30/2013,0,0,0,0,7.5,1054031,3.7,47892,0.0059767972999999995,0.0023088,0.0956933844,0.192599775,0.4292158871,5.0,0.505,0.215,0.8857142857142858,20.571428571428573,28.571428571428573,12.571428571428571,2.8333333333333335
141,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,49,12/07/2013,0,0,0,0,7.5,1054031,3.7,47892,0.0059767972999999995,0.0030784000000000002,0.2008874279,0.18283720809999998,0.2131505042,1.0,0.557,0.049999999999999996,0.0,33.57142857142857,40.857142857142854,26.285714285714285,1.2
